insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0001', 'RID07', 'SI11', TO_DATE('2022-04-12', 'YYYY-MM-DD'), TO_DATE('2022-04-13', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0002', 'RID16', 'SI09', TO_DATE('2022-05-13', 'YYYY-MM-DD'), TO_DATE('2022-05-17', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0003', 'RID01', 'SI14', TO_DATE('2023-04-03', 'YYYY-MM-DD'), TO_DATE('2023-04-05', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0004', 'RID23', 'SI10', TO_DATE('2022-12-16', 'YYYY-MM-DD'), TO_DATE('2022-12-21', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0005', 'RID18', 'SI02', TO_DATE('2022-06-03', 'YYYY-MM-DD'), TO_DATE('2022-06-04', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0006', 'RID13', 'SI06', TO_DATE('2023-01-26', 'YYYY-MM-DD'), TO_DATE('2023-01-31', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0007', 'RID45', 'SI08', TO_DATE('2022-02-13', 'YYYY-MM-DD'), TO_DATE('2022-02-17', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0008', 'RID44', 'SI03', TO_DATE('2023-02-03', 'YYYY-MM-DD'), TO_DATE('2023-02-05', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0009', 'RID28', 'SI12', TO_DATE('2022-03-21', 'YYYY-MM-DD'), TO_DATE('2022-03-22', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0010', 'RID10', 'SI05', TO_DATE('2022-07-06', 'YYYY-MM-DD'), TO_DATE('2022-07-10', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0011', 'RID34', 'SI04', TO_DATE('2022-04-27', 'YYYY-MM-DD'), TO_DATE('2022-05-01', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0012', 'RID29', 'SI16', TO_DATE('2022-06-24', 'YYYY-MM-DD'), TO_DATE('2022-06-29', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0013', 'RID05', 'SI07', TO_DATE('2022-09-25', 'YYYY-MM-DD'), TO_DATE('2022-09-28', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0014', 'RID06', 'SI18', TO_DATE('2022-10-21', 'YYYY-MM-DD'), TO_DATE('2022-10-25', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0015', 'RID04', 'SI13', TO_DATE('2022-11-23', 'YYYY-MM-DD'), TO_DATE('2022-11-25', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0016', 'RID30', 'SI15', TO_DATE('2022-05-15', 'YYYY-MM-DD'), TO_DATE('2022-05-18', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0017', 'RID24', 'SI01', TO_DATE('2023-01-18', 'YYYY-MM-DD'), TO_DATE('2023-01-21', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0018', 'RID43', 'SI17', TO_DATE('2022-10-17', 'YYYY-MM-DD'), TO_DATE('2022-10-19', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0019', 'RID21', 'SI18', TO_DATE('2022-02-28', 'YYYY-MM-DD'), TO_DATE('2022-03-01', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0020', 'RID26', 'SI11', TO_DATE('2022-05-04', 'YYYY-MM-DD'), TO_DATE('2022-05-06', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0021', 'RID19', 'SI14', TO_DATE('2023-01-28', 'YYYY-MM-DD'), TO_DATE('2023-02-02', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0022', 'RID17', 'SI10', TO_DATE('2022-06-05', 'YYYY-MM-DD'), TO_DATE('2022-06-06', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0023', 'RID50', 'SI12', TO_DATE('2023-01-07', 'YYYY-MM-DD'), TO_DATE('2023-01-08', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0024', 'RID32', 'SI07', TO_DATE('2023-01-30', 'YYYY-MM-DD'), TO_DATE('2023-02-03', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0025', 'RID22', 'SI05', TO_DATE('2023-04-20', 'YYYY-MM-DD'), TO_DATE('2023-04-21', 'YYYY-MM-DD'));
